200,0.039503
200,0.042816
200,0.041435
200,0.042872
200,0.047367
200,0.053484
200,0.040016
200,0.041903
200,0.044187
200,0.042986
200,0.068298
200,0.068797
200,0.054387
200,0.054847
200,0.052847
200,0.059583
200,0.044029
200,0.043376
200,0.069938
200,0.072265
200,0.075634
200,0.073894
200,0.071219
200,0.074674
200,0.041777
200,0.076640
200,0.075994
200,0.076590
200,0.079180
200,0.073724
200,0.074441
200,0.043005
200,0.042249
200,0.047817
200,0.070305
200,0.075029
200,0.069322
200,0.068884
200,0.068262
200,0.069201
200,0.041455
200,0.045118
200,0.041489
200,0.041164
200,0.045233
200,0.055836
200,0.058327
200,0.057702
200,0.057468
200,0.054520
200,0.051852
200,0.041374
200,0.045312
200,0.040333
200,0.053896
200,0.055871
200,0.065474
200,0.062466
200,0.055371
200,0.059422
200,0.039310
200,0.042438
200,0.044153
200,0.040122
200,0.065515
200,0.063200
200,0.073669
200,0.075447
200,0.067648
200,0.076820
200,0.044277
200,0.042622
200,0.075334
200,0.069868
200,0.085219
200,0.082082
200,0.071397
200,0.068548
200,0.043013
200,0.078503
200,0.070326
200,0.072540
200,0.072740
200,0.088963
200,0.091892
200,0.047927
200,0.053738
200,0.055495
200,0.072455
200,0.080268
200,0.076728
200,0.057221
200,0.057088
200,0.069667
200,0.047471
200,0.069372
200,0.068468
200,0.068525
200,0.080890
200,0.076363
200,0.073029
200,0.042520
200,0.040655
200,0.044684
200,0.067717
200,0.070755
200,0.073620
200,0.067561
200,0.069759
200,0.071213
200,0.044233
200,0.048356
200,0.045161
200,0.070194
200,0.076014
200,0.068936
200,0.067143
200,0.069641
200,0.081160
200,0.042525
200,0.076513
200,0.078532
200,0.073226
200,0.074033
200,0.073789
200,0.075931
200,0.045306
200,0.042154
200,0.044590
200,0.070920
200,0.066017
200,0.071012
200,0.065666
200,0.067435
200,0.070714
200,0.040443
200,0.041526
200,0.043005
200,0.068834
200,0.074182
200,0.071590
200,0.065351
200,0.068367
200,0.067417
200,0.038584
200,0.045812
200,0.045347
200,0.065773
200,0.071503
200,0.071380
200,0.066762
200,0.070342
200,0.064325
200,0.045120
200,0.040130
200,0.043911
200,0.075507
200,0.070676
200,0.073670
200,0.072452
200,0.071144
200,0.071448
200,0.044239
200,0.078077
200,0.075582
200,0.070412
200,0.073246
200,0.075964
200,0.069935
200,0.038458
200,0.046685
200,0.045284
200,0.038564
200,0.045620
200,0.065982
200,0.069829
200,0.069306
200,0.059033
200,0.071696
200,0.073808
200,0.072601
200,0.071814
200,0.062857
200,0.077169
200,0.074407
200,0.082212
200,0.041811
200,0.045407
200,0.042631
200,0.040517
200,0.043500
200,0.071143
200,0.070131
200,0.074257
200,0.065963
200,0.068751
200,0.067106
200,0.045478
200,0.068275
200,0.068631
200,0.078425
200,0.071936
200,0.079173
200,0.074052
200,0.045355
200,0.046663
200,0.069410
200,0.072913
200,0.078345
200,0.071720
200,0.069461
200,0.073450
200,0.040149
200,0.043110
200,0.043648
200,0.070713
200,0.074836
200,0.065893
200,0.068254
200,0.073359
200,0.072272
200,0.048391
200,0.045058
200,0.039310
